HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
40154851,40153965,40017702,3.75,1318.9,546.6,13.12,101192.7,0,780.974,7,2,4,4120232560.0,0.03779611588278868,43,19,62,0.3064516129032258,True,2.0,Perennial_connected
40153965,40153437,40017702,2.26,1316.6,548.9,7.01,101229.1,0,781.322,7,2,4,4120232560.0,0.02357022603958039,29,16,45,0.35555555555555557,True,2.0,Perennial_connected
40153437,40152522,40017702,3.75,1312.7,552.8,23.84,101270.8,0,781.803,7,2,4,4120232560.0,0.037796115882803606,40,17,57,0.2982456140350877,True,2.0,Perennial_connected
40152522,40151980,40017702,1.95,1310.8,554.8,2.68,101285.7,0,782.025,7,2,4,4120232560.0,0.01839255650989959,36,14,50,0.28,True,2.0,Perennial_connected
40151980,40150808,40017702,5.07,1305.8,559.7,24.71,101329.8,0,782.588,7,2,4,4120232560.0,0.05303300858898302,61,17,78,0.21794871794871795,True,2.0,Perennial_connected
40170546,40172326,40017702,4.48,2155.3,1167.8,13.54,210264.1,0,659.746,7,2,4,4120254430.0,0.042677669529591275,94,12,106,0.11320754716981132,True,2.0,Perennial_connected
40170029,40169696,40017702,4.86,1984.2,1339.0,26.63,369139.8,0,1265.979,8,2,3,4120252610.0,0.05690355937284981,105,15,120,0.125,True,2.0,Perennial_connected
40169853,40169854,40017702,4.29,1970.1,1353.1,20.9,388971.1,0,1355.462,8,2,3,4120252770.0,0.051011002862930525,87,20,107,0.18691588785046728,True,2.0,Perennial_connected
40169698,40169700,40017702,0.65,1983.2,1339.9,0.9,388837.3,0,1357.675,8,2,3,4120252770.0,0.008333333333325754,66,11,77,0.14285714285714285,True,2.0,Perennial_connected
40169696,40169698,40017702,0.33,1983.9,1339.3,0.3,388769.1,0,1357.618,8,2,3,4120252770.0,0.004166666666662877,62,10,72,0.1388888888888889,True,2.0,Perennial_connected
