catchment_id,downstream_id,basin_id,longitude,latitude,river_width,river_depth,river_length,catchment_area,upstream_area,is_river_mouth,segment_sample_cells,segment_water_cells,segment_perennial_cells,segment_water_ratio,segment_dominant_component_id,segment_component_ids,downstream_in_raster,flow_status_row,flow_status_col,point_flow_status,point_component_id,nearest_water_row,nearest_water_col,nearest_water_lon,nearest_water_lat,nearest_water_component_id,nearest_water_status,nearest_water_distance_km,match_confidence
4599471,4597671,45635,75.50041961669922,42.838748931884766,28.78253,0.0,12811.225,122573896.0,10053785600.0,0,89,0,0,0.0,0,,True,2080,666,0,0,2081,672,75.548125,42.827625,42123,1,4.081977247075438,medium
4693000,4692999,45635,80.7870864868164,50.00791549682617,20.225117,0.0,16460.783,112226224.0,13360317440.0,0,96,10,0,0.10416666666666667,26752,26752;26902;27142,True,1211,1307,0,0,1213,1305,80.770375,49.988625,27142,1,2.4551731903487894,medium
4786598,4788397,45635,85.99958038330078,50.18541717529297,83.36906,0.0,3953.3174,78043656.0,11979958272.0,0,62,16,12,0.25806451612903225,11,11,True,1189,1939,1,11,1189,1939,86.00087500000001,50.186625,11,1,0.1628915311714556,high
4878386,4880187,45635,91.0995864868164,51.31041717529297,51.769993,0.0,4991.3193,99572536.0,15702071296.0,0,83,24,4,0.2891566265060241,22860,22860,True,1053,2557,2,22860,1053,2557,91.09937500000001,51.308625,22860,2,0.19982253887358886,high
4811796,4811795,45635,87.3004150390625,50.36375045776367,36.256992,0.0,9245.381,96995848.0,10308947968.0,0,50,7,2,0.14,26052,26050;26051;26052,True,1168,2097,1,26052,1168,2097,87.304375,50.359875,26052,1,0.5144006927658621,medium
4860348,4862149,45635,90.14458465576172,55.09958267211914,51.58611,0.0,9845.004,83095920.0,10294523904.0,0,78,25,0,0.32051282051282054,8743,8743,True,593,2441,1,8743,593,2441,90.142375,55.103625,8743,1,0.47095550842404255,high
4928706,4926907,45635,93.79042053222656,59.29541778564453,119.05575,0.0,15444.1,58704640.0,12671339520.0,0,112,27,27,0.24107142857142858,20,20,True,85,2883,2,20,85,2883,93.788875,59.294624999999996,20,2,0.12438489848822669,high
4944925,4944924,45635,94.73542022705078,57.501251220703125,48.810917,0.0,5709.6987,58556152.0,10049932288.0,0,89,0,0,0.0,0,,True,302,2998,0,0,313,3008,94.820125,57.413624999999996,5246,1,10.982173948991925,low
5020601,5020602,45635,98.92041778564453,49.8004150390625,47.6501,0.0,10476.607,140807472.0,12130567168.0,0,115,29,18,0.25217391304347825,26291,26291,True,1236,3505,2,26291,1236,3505,98.920375,49.798874999999995,26291,2,0.1712722984366097,high
5011613,5011612,45635,98.44125366210938,48.72458267211914,51.524513,0.0,4164.5654,81793160.0,11337426944.0,0,85,17,0,0.2,30077,30077,True,1366,3447,1,30077,1366,3447,98.441875,48.726375,30077,1,0.20444291038537765,high
5045817,5047617,45635,100.43291473388672,48.23458480834961,11.25,0.0,19221.637,38564008.0,10011810816.0,0,90,3,0,0.03333333333333333,31465,31250;31465,True,1426,3688,0,0,1427,3688,100.430125,48.223124999999996,31465,1,1.2909210559042956,medium
5020585,5018784,45635,98.9004135131836,51.479583740234375,68.1645,0.0,6875.9565,84143400.0,14292175872.0,0,74,14,13,0.1891891891891892,22638,22638,True,1032,3503,2,22638,1032,3503,98.903875,51.481875,22638,2,0.3498154501223062,medium
5043969,5045769,45635,100.33875274658203,53.07374954223633,33.840275,0.0,19145.643,78313360.0,13054268416.0,0,82,37,33,0.45121951219512196,20,20,True,839,3677,2,20,839,3677,100.339375,53.074125,20,2,0.05891500742267887,high
5040399,5042199,45635,100.0995864868164,50.034584045410156,51.787796,0.0,17574.297,59472044.0,10264009728.0,0,113,16,0,0.1415929203539823,27062,26983;27028;27029;27030;27062;27111,True,1207,3648,0,0,1207,3647,100.091875,50.038125,26983,1,0.6770269170769599,medium
5080022,5081822,45635,102.2995834350586,47.748748779296875,50.40607,0.0,8375.268,74408592.0,11423674368.0,0,108,20,0,0.18518518518518517,32449,32449;32471;32498,True,1485,3915,0,0,1485,3914,102.294625,47.744625,32498,1,0.5896671470826199,medium
5074596,5072796,45635,101.86458587646484,50.366249084472656,62.545868,0.0,9216.899,44411920.0,13191612416.0,0,102,25,9,0.24509803921568626,20,20,True,1167,3862,2,20,1167,3862,101.865625,50.368125,20,2,0.22123043915512489,high
5112419,5114219,45635,104.1187515258789,48.04708480834961,5.260255,0.0,13173.807,87281592.0,11285970944.0,0,84,2,0,0.023809523809523808,31700,31700,True,1448,4135,0,0,1442,4136,104.126125,48.099375,31700,1,5.840163768403482,low
5114139,5112339,45635,104.10041809082031,56.03541564941406,83.08899,0.0,12622.228,96780744.0,12465517568.0,0,55,20,20,0.36363636363636365,20,20,True,480,4133,2,20,480,4133,104.101375,56.035875,20,2,0.0783750630592451,high
5148410,5146610,45635,105.99041748046875,48.95291519165039,11.25,0.0,17488.814,85964392.0,11428810752.0,0,98,0,0,0.0,0,,True,1339,4362,0,0,1342,4369,106.048375,48.924375,29692,1,5.2907076685621535,low
5202400,5200600,45635,108.98291778564453,49.93375015258789,65.52397,0.0,9082.08,116094344.0,12851223552.0,0,91,26,26,0.2857142857142857,20,20,True,1220,4725,2,20,1220,4725,108.985375,49.930875,20,2,0.3648866905092164,high
4509528,4507727,45635,70.492919921875,37.1995849609375,52.756416,0.0,7334.0923,128107088.0,13431504896.0,0,102,25,7,0.24509803921568626,52080,52080,True,2763,59,1,52080,2763,59,70.490875,37.201125,52080,1,0.24925611412760654,high
4550777,4552577,45635,72.9262466430664,52.25291442871094,20.018385,0.0,8648.84,81876264.0,13802068992.0,0,93,13,0,0.13978494623655913,20454,20396;20432;20454;20638,True,939,354,1,20638,939,354,72.924625,52.249125,20638,1,0.4355863759588228,medium
4527413,4525613,45635,71.50041961669922,48.67208480834961,19.528458,0.0,3872.5798,168810368.0,13047365632.0,0,130,1,0,0.007692307692307693,30406,30406,True,1373,181,0,0,1368,187,71.546875,48.709875,30148,1,5.411568313638015,low
