catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,hyriv_id,distance_m,nearest_distance_m,second_distance_m,downstream_support,upstream_support,match_status
5456245,5456244,53394,123.1762466430664,45.49958419799805,28704.047104,40170659.0,1888.5713950943168,1888.5713950943168,2717.2444658263003,1,1,candidate
5456248,5458048,53394,123.1995849609375,45.17291641235352,13358.94528,,,,,0,0,no_candidate
5456259,5458060,53394,123.25125122070312,43.95291519165039,43959.947264,,,,,0,0,no_candidate
5456278,5454478,53394,123.0745849609375,42.104583740234375,166476.791808,40286767.0,0.1273427140012357,0.1273427140012357,1339.0522819054804,1,1,candidate
5457964,5459764,53394,123.30791473388672,53.55708312988281,385098.186752,40013070.0,92.72462504160325,92.72462504160325,1536.3561248224369,1,1,candidate
5457966,5459766,53394,123.3012466430664,53.341251373291016,13485.23008,,,,,0,0,no_candidate
5457967,5457966,53394,123.25791931152344,53.34791564941406,13329.248256,40013568.0,18116.336351530485,18116.336351530485,18116.336351530485,0,0,ambiguous
5458029,5459830,53394,123.2995834350586,47.01791763305664,18780.44672,40124193.0,209.12579696112925,209.12579696112925,828.8321197474421,1,1,candidate
5458031,5459831,53394,123.3495864868164,46.81874847412109,16379.46368,40129149.0,10309.224638240314,10309.224638240314,10422.694022083719,1,1,ambiguous
5458043,5459843,53394,123.2995834350586,45.63874816894531,30005.57568,40166630.0,106.2546435381495,106.2546435381495,3337.0659286369496,1,1,candidate
5458044,5458043,53394,123.2554168701172,45.59958267211914,29930.22976,40168743.0,106.49184177979612,106.49184177979612,837.4213626566093,1,1,candidate
5458048,5459848,53394,123.32125091552734,45.16291809082031,13499.736064,,,,,0,0,no_candidate
5458060,5459861,53394,123.3495864868164,43.866249084472656,44426.051584,,,,,0,0,no_candidate
5458063,5459863,53394,123.2995834350586,43.65041732788086,81471.660032,40233611.0,1203.7143539231504,1203.7143539231504,5623.22574234701,1,1,candidate
5458078,5456278,53394,123.1937484741211,42.15791702270508,166319.095808,40285097.0,110.63336871114271,110.63336871114271,185.1668151044972,1,1,candidate
5459764,5461564,53394,123.42208099365234,53.536251068115234,395045.863424,40013222.0,92.86582064311736,92.86582064311736,239.5851899756729,1,1,candidate
5459765,5461565,53394,123.39958190917967,53.43291473388672,13679.802368,40013570.0,8878.574549413155,8878.574549413155,11407.989913798121,1,1,candidate
5459766,5459765,53394,123.34124755859376,53.39958190917969,13595.492352,40013570.0,14185.23912357839,14185.23912357839,15263.326363453141,1,0,ambiguous
5459830,5461630,53394,123.42958068847656,46.96125030517578,18875.590656,40125855.0,711.5638630837112,711.5638630837112,1269.6719324158007,1,1,candidate
5459831,5461632,53394,123.39958190917967,46.81708526611328,16548.436992,40129149.0,6714.40973207797,6714.40973207797,6900.131959085425,1,1,topology_resolved
5459842,5461642,53394,123.4670867919922,45.73958206176758,30102.994944,40163288.0,1395.203804353715,1395.203804353715,3715.964884327474,1,1,candidate
5459843,5459842,53394,123.37791442871094,45.70124816894531,30048.124928,40164432.0,833.3870476881738,833.3870476881738,1766.7669745956578,1,1,candidate
